id,gameId,playerId,breakScore,round1,round2,final,coryat,playerId,wins
11647,3459,6976,4800,13000,47000,77000,34400,6976,6
6193,920,1,5200,14400,51400,75000,37600,1,74
10953,3141,6343,3200,11800,39000,68000,28600,6343,1
12349,4285,8633,5200,10200,36600,66600,26200,8633,1
13366,4436,8885,4000,12000,44200,58200,27200,8885,11
13987,4860,9770,2400,5800,37400,57198,25600,9770,3
11833,3893,7803,800,3600,28400,56400,25200,7803,4
10681,3288,6634,5400,13800,32400,55300,26400,6634,1
7339,58,1,6600,15000,44800,55099,36200,1,74
10990,3700,7438,2400,5600,39200,55000,27600,7438,4
6196,2732,1,4800,16000,42000,52000,30200,1,74
6220,2705,1,6200,12400,34400,52000,29600,1,74
6223,2704,1,9800,12600,37000,52000,28600,1,74
10852,3200,6466,5600,9600,32800,51999,29400,6466,1
14833,5064,10171,2200,6600,39600,51000,25800,10171,13
12307,3725,7490,5000,10400,38800,50800,23200,7490,7
6208,2485,1,4200,13200,40000,50000,30800,1,74
6277,1611,1,6400,10400,35000,50000,32600,1,74
7336,59,1,6400,12600,38400,50000,29400,1,74
6286,1587,1,5400,9600,40600,50000,39200,1,74
7384,43,1,5800,10000,40000,50000,27200,1,74
14836,5063,10171,1600,6200,35000,50000,28200,10171,13
7483,10,1,5200,10200,38000,50000,35800,1,74
12220,3759,7549,3400,5400,43200,50000,19000,7549,3
14500,5216,10497,600,5200,38600,49900,15600,10497,3
9800,2982,5975,2800,8200,27200,49699,20200,5975,3
6253,2684,1,6400,8700,28200,48801,23800,1,74
9966,2891,5804,1400,5800,32600,48600,24600,5804,3
10994,3698,7438,5600,14600,39400,48000,27000,7438,4
7103,208,447,2200,4000,23400,46800,19200,447,1
8092,590,1220,2400,7200,31600,46600,24400,1220,5
14559,5197,10460,3400,5000,23800,46599,23800,10460,4
9039,2484,4956,3800,8000,42200,45200,30400,4956,6
7387,42,1,4200,11200,37600,45099,31800,1,74
7495,6,1,6000,16600,38800,45000,32200,1,74
9069,2454,4914,3000,6600,22200,44400,22200,4914,3
13043,4586,9223,4400,10200,23200,44200,17800,9223,2
12313,3723,7485,5400,10400,28800,44001,28200,7485,2
11443,3531,7110,5000,9000,29800,43800,25800,7110,8
13896,4893,9845,3600,4600,22400,42900,19000,9845,1
9022,2491,4956,2200,8200,21800,42800,19400,4956,6
13717,4309,8608,1600,6000,32000,42000,24200,8608,6
10147,2758,5535,5200,16000,29000,42000,24800,5535,3
10744,3258,6564,1400,6400,20800,41600,20800,6564,4
11315,3577,7208,4200,4800,23440,41413,26800,7208,2
8990,2510,5018,3800,4800,21200,41201,12000,5018,1
12767,4059,8151,3600,6600,21000,40801,21000,8151,2
11667,3964,7962,4400,7300,21290,40801,21600,7962,1
10081,2818,5648,2800,6400,20400,40800,20200,5648,4
11842,3891,7803,3800,5800,20800,40800,19000,7803,4
7308,69,133,5400,16200,30600,40600,18400,133,1
12501,4191,8418,3000,4400,22800,40401,14400,8418,1
14448,5248,10564,7600,13000,32000,40100,27200,10564,1
14845,5059,10171,3000,8000,36800,40009,29200,10171,13
8502,1772,3574,3000,9800,21800,40001,17800,3574,2
12038,3823,7687,6200,10000,32600,40000,24200,7687,1
6256,2683,1,3800,7800,33399,40000,33800,1,74
